x	y	t	temp
7.101449370384216309e-01	8.493868708610534668e-01	0.000000000000000000e+00	5.000000000000000000e-01
8.405796885490417480e-01	9.748978018760681152e-01	0.000000000000000000e+00	5.000000000000000000e-01
4.420289993286132812e-01	9.623467326164245605e-01	0.000000000000000000e+00	5.000000000000000000e-01
3.333333432674407959e-01	7.238759398460388184e-01	0.000000000000000000e+00	5.000000000000000000e-01
5.579710006713867188e-01	2.092811614274978638e-01	0.000000000000000000e+00	5.000000000000000000e-01
4.347826540470123291e-02	2.469344437122344971e-01	0.000000000000000000e+00	5.000000000000000000e-01
6.231884360313415527e-01	6.485694050788879395e-01	0.000000000000000000e+00	5.000000000000000000e-01
1.231884136795997620e-01	2.343833446502685547e-01	0.000000000000000000e+00	5.000000000000000000e-01
2.608695626258850098e-01	4.611695185303688049e-02	0.000000000000000000e+00	5.000000000000000000e-01
4.347826912999153137e-02	3.473431766033172607e-01	0.000000000000000000e+00	5.000000000000000000e-01
4.360825195908546448e-02	8.744140267372131348e-01	0.000000000000000000e+00	5.000000000000000000e-01
4.055282771587371826e-01	2.488998882472515106e-02	0.000000000000000000e+00	5.000000000000000000e-01
6.449275612831115723e-01	1.590767800807952881e-01	0.000000000000000000e+00	5.000000000000000000e-01
7.463768124580383301e-01	1.339745968580245972e-01	0.000000000000000000e+00	5.000000000000000000e-01
5.289855003356933594e-01	6.109161376953125000e-01	0.000000000000000000e+00	5.000000000000000000e-01
3.982273340225219727e-01	5.921371281147003174e-02	0.000000000000000000e+00	5.000000000000000000e-01
7.391304373741149902e-01	2.720366120338439941e-01	0.000000000000000000e+00	5.000000000000000000e-01
6.739130616188049316e-01	9.372445344924926758e-01	0.000000000000000000e+00	5.000000000000000000e-01
7.898550629615783691e-01	1.841789633035659790e-01	0.000000000000000000e+00	5.000000000000000000e-01
7.753623127937316895e-01	4.603030085563659668e-01	0.000000000000000000e+00	5.000000000000000000e-01
5.077241361141204834e-02	7.866038680076599121e-01	0.000000000000000000e+00	5.000000000000000000e-01
7.246376574039459229e-02	8.242847323417663574e-01	0.000000000000000000e+00	5.000000000000000000e-01
3.840579688549041748e-01	4.603030085563659668e-01	0.000000000000000000e+00	5.000000000000000000e-01
3.695652186870574951e-01	9.623467326164245605e-01	0.000000000000000000e+00	5.000000000000000000e-01
9.495696425437927246e-01	3.847379088401794434e-01	0.000000000000000000e+00	5.000000000000000000e-01
6.956521868705749512e-01	8.995912671089172363e-01	0.000000000000000000e+00	5.000000000000000000e-01
3.623188436031341553e-01	1.465256959199905396e-01	0.000000000000000000e+00	5.000000000000000000e-01
7.173913121223449707e-01	9.874489307403564453e-01	0.000000000000000000e+00	5.000000000000000000e-01
3.112730979919433594e-01	5.919533595442771912e-02	0.000000000000000000e+00	5.000000000000000000e-01
5.217391252517700195e-01	8.995912671089172363e-01	0.000000000000000000e+00	5.000000000000000000e-01
4.057970941066741943e-01	1.214235052466392517e-01	0.000000000000000000e+00	5.000000000000000000e-01
5.507246255874633789e-01	3.473431766033172607e-01	0.000000000000000000e+00	5.000000000000000000e-01
7.898550629615783691e-01	1.590767800807952881e-01	0.000000000000000000e+00	5.000000000000000000e-01
2.681159377098083496e-01	8.377023041248321533e-02	0.000000000000000000e+00	5.000000000000000000e-01
1.159420385956764221e-01	5.230584740638732910e-01	0.000000000000000000e+00	5.000000000000000000e-01
5.797101259231567383e-01	2.469344288110733032e-01	0.000000000000000000e+00	5.000000000000000000e-01
8.550724983215332031e-01	6.736716032028198242e-01	0.000000000000000000e+00	5.000000000000000000e-01
1.376811712980270386e-01	1.590767949819564819e-01	0.000000000000000000e+00	5.000000000000000000e-01
6.521739810705184937e-02	4.854052066802978516e-01	0.000000000000000000e+00	5.000000000000000000e-01
5.945248007774353027e-01	2.317936904728412628e-02	0.000000000000000000e+00	5.000000000000000000e-01
3.623189032077789307e-02	4.854052066802978516e-01	0.000000000000000000e+00	5.000000000000000000e-01
3.260869681835174561e-01	6.611204743385314941e-01	0.000000000000000000e+00	5.000000000000000000e-01
4.710144400596618652e-01	8.377065509557723999e-02	0.000000000000000000e+00	5.000000000000000000e-01
8.985955119132995605e-01	4.614281281828880310e-02	0.000000000000000000e+00	5.000000000000000000e-01
